Mapping Category,Mapping Value,Taxonomy Code
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Processos judiciais em curso,150
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Acidentes de trabalho e doenças profissionais,151
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Matérias ambientais,152
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Contratos onerosos,153
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Reestruturação,154
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Provisões - Outras provisões,155
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Mercadorias,156
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Compras - Matérias -primas, subsidiárias e de consumo",157
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Ativos biológicos,158
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Devoluções de compras - Mercadorias,159
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Compras - Devoluções de compras - Matérias -primas, subsidiárias e de consumo",160
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Devoluções de compras - Ativos biológicos,161
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Descontos e abatimentos em compras - Mercadorias,162
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Compras - Descontos e abatimentos em compras - Matérias -primas, subsidiárias e de consumo",163
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Compras - Descontos e abatimentos em compras - Ativos biológicos,164
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Mercadorias,165
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Mercadorias em trânsito,166
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Mercadorias em poder de terceiros,167
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Perdas por imparidade acumuladas - Mercadorias,168
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Perdas por imparidade acumuladas - Mercadorias em trânsito,169
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),S: Mercadorias - Perdas por imparidade acumuladas - Mercadorias em poder de terceiros,170
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Matérias - primas",171
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Matérias subsidiárias",172
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Embalagens",173
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Materiais diversos",174
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Matérias em trânsito",175
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Outras matérias -primas, subsidiárias e de consumo",176
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias -primas",177
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias subsidiárias",178
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Embalagens",179
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Materiais diversos",180
PT SAF-T: Taxonomy S (Base & International Standard Chart of Accounts),"S: Matérias -primas, subsidiárias e de consumo - Perdas por imparidade acumuladas - Matérias em trânsito",181
